"date","statement","falsehood","analysis","category","keywords"
" Sep 26","Falsely said the U.S. trade deficit “with all of the countries that we do business with” is “almost $800 billion a year.”","Exaggerated the trade deficit","The trade deficit last year was $532 billion. It rises to $746 billion when only goods are counted, not the services at which the U.S. excels, but Trump did not specify he was excluding the U.S.’s strength.","Trade/economy",""
" Oct 5","Falsely said, “Our annual trade deficit with the world is nearly $800 billion.”","Exaggerated the trade deficit","The overall U.S. trade deficit last year was $532 billion. It was $746 billion when only goods were counted, not the services trade at which the U.S. excels.","Trade/economy",""
" Oct 9","Falsely said, “Last year, we had almost $800 billion trade deficit. Other words, trading with other countries. We had an $800 billion deficit.”","Exaggerated the trade deficit","The trade deficit last year was $532 billion. It was $746 billion when trade in services, at which the U.S. excels, is excluded from the count.","Trade/economy",""
" Oct 15","Falsely said the U.S. trade deficit is “massive and getting bigger.”","Exaggerated the trade deficit","“Massive” is subjective, but it is objectively false that the deficit is increasing. As of early October, it was down $4.3 billion (U.S.), or 1.3 per cent, from the same period in 2015.","Trade/economy",""
" Oct 22","Falsely said, “We have nearly an $800 billion annual trade deficit with the world.”","Exaggerated the trade deficit","The trade deficit last year was $532 billion. It was $746 billion only when the count includes goods alone, excluding services. Trump sometimes specifies that he is talking about goods, but often does not.","Trade/economy",""
" Oct 23","Falsely said, “We have a nearly $800 billion annual trade deficit with the world.”","Exaggerated the trade deficit","The trade deficit last year was $532 billion. It was $746 billion only when the count includes goods alone, excluding services. Trump sometimes specifies that he is talking about goods, but often does not.","Trade/economy",""
" Sep 20","Falsely claimed, “When Boeing made their deal with China, China took their intellectual property.”","Falsely described trade with China","Chinese spies and hackers have stolen and tried to steal Boeing intellectual property, but this was not the result of a “deal.”","Trade/economy",""
" Sep 20","Falsely said the trade deficit with China is “$500 billion a year.”","Falsely described trade with China","It was $367 billion last year and is significantly lower this year.","Trade/economy",""
" Sep 25","Falsely said, “We’re losing more than $400 billion a year with China, in terms of a trade deficit.”","Falsely described trade with China","Leaving aside the economically dubious characterization of a trade deficit as “losing” money, last year’s deficit with China was about $337 billion; counting only trade in goods and excluding trade in services, it was $367 billion. The 2016 deficit is on pace to be lower.","Trade/economy",""
" Sep 26","Falsely said, “They're using our country as a piggy bank to rebuild China.”","Falsely described trade with China","This makes no sense — the U.S. is a net borrower from China, not the other way around, as Trump himself frequently notes.","Trade/economy",""
" Sep 26","Falsely said of China, “They're devaluing their currency, and there's nobody in our government to fight them.”","Falsely described trade with China","The International Monetary Fund declared last year that China’s currency is “no longer devalued.” Binyamin Applebaum of the New York Times wrote: “There is no evidence that China is presently engaging in currency devaluation.”","Trade/economy",""
" Sep 27","Falsely said Boeing is going to manufacture 757s like his in China: “See that plane? That plane was built in America. Now that same company is going to start building these planes in China. I don’t like it.”","Falsely described trade with China","The 757 is no longer being manufactured. While Boeing is opening a China plant to install interiors and paint exteriors on 737s, the vast majority of its manufacturing is remaining in the U.S.","Trade/economy",""
" Oct 1","Falsely said the U.S. has China “trade deficits of $400, $500 billion a year.”","Falsely described trade with China","The deficit was about $330 billion last year including services, $367 billion with goods alone. It may be lower this year.","Trade/economy",""
" Oct 19","Falsely said, of China’s 7 per cent economic growth rate, “That for them is a catastrophically low number.”","Falsely described trade with China","China and independent economists do not see 7 per cent as a catastrophe, though it is certainly a slowdown and lower than its much-questioned official growth rate of the past. Wang Baoan, head of China’s statistics authority, said “economic growth last year met the government’s target for medium-to-high growth.”","Trade/economy",""
" Sep 26","Falsely described Mexico’s value-added tax as a kind of trade barrier: “When we sell into Mexico, there's a tax. When they sell in — automatic, 16 percent, approximately. When they sell into us, there's no tax. It's a defective agreement.”","Mexico's VAT is a trade barrier","This is a gross misunderstanding of how a VAT works.","Trade/economy",""
" Oct 22","Falsely said Cleveland’s I-X Center, where he was speaking, once housed a company that left the country to operate abroad: “As an example, this used to be a great plant. Thousands and thousands of people worked here. And they left.”","One off","The facility was a government-owned bomber-manufacturing plant during World War II. It was then turned into a tank-manufacturing plant. The government shut it down in 1972; it was later turned into an exhibition centre.","Trade/economy",""
